PLAYER_NAME,TEAM,WIN,scoring_volume_index,shooting_efficiency_index,playmaking_index,rebounding_index,defense_index,ball_control_index,overall_impact_index,usage_opportunity_index
Aaron Gordon,ORL,0.4838709677419355,0.43729306302118215,-0.08758153068048592,0.579692218553774,0.9699451692154194,0.14454258621030136,0.11523307689602404,-0.06964574741002585,0.46784640103700975
Aaron Holiday,IND,0.6363636363636364,-0.13515657690845756,-0.08179561756279193,0.4940020967318917,-0.5489787494689686,-0.07902551366780915,-0.04926674700498963,0.21246580455137248,0.05727907418947648
Abdel Nader,OKC,0.6727272727272727,-0.5107040158011958,0.1893381499516834,-0.5942671894847478,-0.7053694767733119,-0.22349170492939413,-0.3769617598896013,0.10052446137940575,-0.3685561012580266
Adam Mokoka,CHI,0.2727272727272727,-0.9021196563372893,-0.4311221898428327,-0.7267445312605835,-0.9660206889472174,-0.4674668615375884,-0.5451763896419891,-0.026681765851896747,-0.40821270262522247
Admiral Schofield,WAS,0.2727272727272727,-0.8915408552417192,-0.8771497466955188,-0.6823816244553441,-0.8183183353820043,-0.4587739575821196,-0.5446734376786232,-0.3081366348176047,-0.5334571708805185
Al Horford,PHI,0.582089552238806,0.14533954467781515,0.07232077193226673,0.845665903990089,0.7247109052435189,0.28714920476661543,0.0026267940978139006,0.16035259022101078,0.32978919109375077
Al-Farouq Aminu,ORL,0.3888888888888889,-0.7363851058400246,-0.6116080218356348,-0.3831819216777357,0.15912371027014136,0.1275694285061667,-0.292429260052842,-0.20031915900831626,-0.0357799148345359
Alec Burks,GSW,0.22916666666666666,0.6333492443468115,0.08481185978768357,0.40952564888402737,0.12328416859622936,0.09576588017955412,0.17616228267968528,-0.5141597247349269,0.2726814458632691
Alec Burks,PHI,0.5555555555555556,0.18161974478666912,0.46458053775466684,0.08172519906531443,-0.33466553057042403,-0.3095708870870174,-0.44306127961553865,0.1400019477405533,-0.1960208574530785
Alen Smailagic,GSW,0.07142857142857142,-0.7502382977508901,0.10564488888403753,-0.4510607532565963,-0.673718972437909,-0.37592325656836934,-0.5155886377690349,-0.4564697175337488,-0.5720324946185285
Alex Caruso,LAL,0.75,-0.606078519428445,-0.22638792789587106,-0.03457308615229973,-0.6756389478847258,0.0796812069003657,-0.32283878890110385,0.4192582477933655,-0.23002486407878986
Alex Len,ATL,0.225,-0.22534085624819258,0.023592651411241294,-0.43528334535811625,0.4219470158788294,0.0926241949537572,-0.005505481773015081,-0.4280883167686376,-0.2674353528132245
Alex Len,SAC,0.6,-0.5501982065579908,0.2571248713579459,-0.6439337718908035,0.5127405214527399,0.04004248557860475,0.007175037593443711,0.16013493093277695,-0.35769404193391346
Alfonzo McKinnie,CLE,0.275,-0.7111722965622491,-0.25118701066702487,-0.7442686574006417,-0.4166982592907115,-0.23877978469441485,-0.2954564283506689,-0.3312016061166593,-0.3565851499199985
Alize Johnson,IND,0.5882352941176471,-1.0079076672929903,-0.7608128918645283,-0.7487262712939818,-0.4171199009574634,-0.4952528253665291,-0.7454458969161583,0.15152223703776654,-0.822533007371759
Amir Coffey,LAC,0.6111111111111112,-0.86568156367477,-0.27834470759482915,-0.575640452670339,-0.9718129381066376,-0.44634036837419433,-0.5983036921757572,0.09632675144895597,-0.8056516120361708
Andre Drummond,CLE,0.5,0.7957779195017105,0.31419820113674457,-0.3103926262880297,1.9630473078570456,0.939706155966367,1.1934434490214707,-0.39868410227129436,0.3816674290988661
Andre Drummond,DET,0.3469387755102041,0.8254633307392798,0.08555008748723848,-0.07469507033235974,3.3081272494554983,1.3665253494039074,1.3237334216747274,-0.26571013641614066,0.5383388212170939
Andre Iguodala,MIA,0.47619047619047616,-0.7086787220182933,0.09923050867059284,0.11759429930110314,-0.16172551995345183,0.28320228623248395,-0.13345370143592777,-0.0793497440389775,-0.1295231037731769
Andre Roberson,OKC,0.42857142857142855,-0.9081646855347579,-0.8147709932503684,-0.6253436014200364,-0.12076604375469525,-0.32845971150036085,-0.4043256700508961,-0.09294688719490707,-0.5920651019015645
Andrew Wiggins,GSW,0.25,1.0188143092666466,0.0640932917675612,0.3875121853000061,0.08744462692231732,0.8775622522401988,0.33092404208947984,-0.5612374778618696,0.7686931491220045
Andrew Wiggins,MIN,0.2857142857142857,1.3693000646115463,0.011909905380002351,0.3876340294941171,0.26834898013349223,0.2109265166079572,0.5737679457279518,-0.3421231715699988,0.5457680537249517
Anfernee Simons,POR,0.45714285714285713,-0.27812151742859054,-0.11611113437611206,-0.288365874936684,-0.6040878629000228,-0.3787247974346449,-0.17461084489266865,-0.20216456039199351,-0.12854844122658451
Ante Zizic,CLE,0.18181818181818182,-0.7328588388081679,-0.10411221150251251,-0.7952623049975392,-0.3665229009472348,-0.35643008195074183,-0.5558667624407087,-0.2921472165430391,-0.6809400033585163
Anthony Davis,LAL,0.7419354838709677,1.7961571263295728,0.28757170811610616,0.26944596228638823,1.4416397822140032,1.47503740318939,0.5886514490859202,0.4124090908420652,0.5573894602470988
Anthony Tolliver,MEM,0.38461538461538464,-0.6856611108433166,0.15194925922524102,-0.5288177162833618,-0.49885351635860214,-0.330775093714605,-0.5226571769031185,0.057415024215062,-0.27403713135668833
Anthony Tolliver,POR,0.42424242424242425,-0.7857528442860182,-0.28867852480757533,-0.4943858333104282,-0.2709507898168027,-0.36895984041249813,-0.35502882456333645,-0.28517022363061806,-0.38222212036232084
Anthony Tolliver,SAC,0.5555555555555556,-1.1242744793442612,-1.375941163517502,-0.7576354114834742,-0.8762408269762054,-0.3594975824263804,-0.7470915545394452,0.04325183653359119,-0.7391783129762248
