PLAYER_NAME,TEAM,scoring_volume_index,shooting_efficiency_index,playmaking_index,rebounding_index,defense_index,ball_control_index,overall_impact_index,usage_opportunity_index
Steven Adams,OKC,-1.2406412913955323,-1.9531284299904665,-0.9041961584815408,-0.07980656755593868,-0.6569420308782734,-0.7750677341353237,-0.41307415015316273,-1.3364711322525542
Steven Adams,MIA,-0.3097067949853641,-0.07336088375494909,-0.9041961584815408,1.0670587660092457,-0.1358853151913894,-1.1264378392447,0.18504313848231252,0.35134645180218427
Steven Adams,OKC,0.8539613255273462,0.5949051017186867,0.07178779123372434,0.7803424326179494,-0.6569420308782734,-0.10552235349872754,1.0781210880850396,-0.2556150901059919
Steven Adams,DEN,-0.19333998293409307,0.1943122011149284,-0.561133385214207,1.6404914327918376,-0.6569420308782734,1.5849385128838411,-1.3061520997558898,1.0391639331681786
Steven Adams,UTA,0.6212277014248041,0.475161449408858,-0.36299981353717203,1.9272077661831337,0.5286043157607293,1.2833606521476997,1.1674288830453126,0.7443850125827525
Steven Adams,OKC,-0.5424404190879062,0.05944877983777811,-0.4162041836239082,0.4936260992266534,1.4990012895018796,-0.44029504381702567,0.6762360107638125,-0.3538747303011339
Steven Adams,OKC,0.15576045321972,0.5489945876338371,-0.4162041836239082,1.9272077661831337,0.5286043157607293,-1.1264378392447,1.122774985565176,-0.452134370496276
Steven Adams,OKC,-0.3097067949853641,0.3906323713285013,-0.13588040154207734,0.7803424326179494,1.4990012895018796,0.9651853766204797,0.5869282158035397,-0.059095809715707825
Steven Adams,LAC,-0.7751740431904481,-0.8766336433381496,0.07178779123372434,1.6404914327918376,-0.6569420308782734,0.8987957174561667,-1.2614982022757535,0.6952551924851814
Steven Adams,OKC,-0.3097067949853641,1.0093852228767093,0.5597797660913568,0.7803424326179494,-0.1358853151913894,-0.44029504381702567,-0.7256514325141172,-0.7960431111792732
Steven Adams,SAC,0.5048608893735331,0.8579611950732752,-0.4162041836239082,0.7803424326179494,-0.6569420308782734,-0.10552235349872754,0.05108144604190351,0.7443850125827525
Steven Adams,OKC,0.6212277014248041,0.8311889129298111,0.07178779123372434,1.3537750994005415,2.6845476361408824,-0.44029504381702567,0.988813293124767,-0.2556150901059919
Steven Adams,SAS,1.2030617616811592,0.7028136256025442,-0.9041961584815408,2.787356766357022,-0.1358853151913894,-0.7750677341353237,0.8101977032042216,0.6952551924851814
Steven Adams,DEN,0.9703281375786171,0.1610452255262229,0.07178779123372434,3.64750576653091,2.612831178508265,-1.1264378392447,0.8995054981644943,0.9409042929730365
Steven Adams,OKC,0.039393641168448984,-0.002239410501785218,0.07178779123372434,1.9272077661831337,1.6424342047671148,0.5640230271378687,0.8995054981644943,-0.2556150901059919
Steven Adams,SAS,-0.07697317088282205,-0.07906867994797179,-0.36299981353717203,1.6404914327918376,2.0200580051887638,1.9529060327842958,-0.45772804763329905,0.9409042929730365
Steven Adams,BOS,-0.7751740431904481,-1.2125000167736726,-0.21807061194687324,1.9272077661831337,-0.06416885755877205,0.5806204419289469,-0.14515076527234455,0.8426446527778945
Steven Adams,DET,0.6212277014248041,0.769770148012452,-0.019937040269838308,1.0670587660092457,-0.06416885755877205,0.9319905470383232,0.09573534352203983,0.7935148326803234
Steven Adams,CLE,-0.5424404190879062,-0.19530782900124055,0.5597797660913568,1.0670587660092457,-0.6569420308782734,-0.10552235349872754,0.5869282158035397,0.8426446527778945
Steven Adams,OKC,-0.3097067949853641,0.5156329473988464,-0.36299981353717203,0.20690976583535736,0.9779445738149959,1.9529060327842958,0.006427548561767138,-0.501264190593847
Steven Adams,OKC,-0.3097067949853641,0.23807989313614278,-0.4162041836239082,1.0670587660092457,0.45688785812811195,-0.4568924586081039,1.122774985565176,-0.3538747303011339
Steven Adams,DAL,-0.19333998293409307,0.880908865481959,1.0477717409489895,0.20690976583535736,-0.6569420308782734,-0.4568924586081039,-0.6363436375538445,0.5478657321924684
Steven Adams,OKC,-1.2406412913955323,-1.9531284299904665,0.07178779123372434,-0.9399555677298268,1.714150662399732,0.5640230271378687,0.5422743183234033,-0.501264190593847
Steven Adams,OKC,-1.2406412913955323,-1.9531284299904665,-0.9041961584815408,-1.226671901121123,-0.6569420308782734,-1.1264378392447,0.5869282158035397,-1.5329904126428384
Steven Adams,POR,-0.6588072311391772,-0.8962956485738085,-0.019937040269838308,1.3537750994005415,-0.6569420308782734,0.5972178567200251,1.390698370445994,0.5478657321924684
Steven Adams,TOR,-1.0079076672929903,1.750013636093503,-0.4162041836239082,-0.6532392343385308,-0.1358853151913894,-0.7750677341353237,-0.5916897400737081,-0.2873412094662389
Steven Adams,OKC,0.272127265270991,0.7946368016928443,0.8111177078551279,1.9272077661831337,1.6424342047671148,-0.08892493870764931,0.8548516006843578,-0.20648527000842087
